,X,Y,cluster
0,-59.78720142459139,-79.42137184790472,0
1,-35.3874847863234,-120.78788960395231,0
2,48.59754159671565,-203.63863381702225,0
3,95.77604097393083,-284.2436443220708,1
4,131.69044552944263,-298.4855161815004,1
5,61.82339468859581,-331.08287129631043,2
6,99.09624575383008,-372.19390978065417,2
7,134.21195307600323,-358.47591231097323,3
8,227.76003728080417,-357.7099236628152,3
9,208.7832828803309,-281.7735090561882,4
10,160.29805747671853,-354.6144836481829,4
11,84.47874315715242,-298.6175662813062,5
12,160.17967339971963,-315.526133690751,5
13,248.85052236343608,-307.6410647509716,6
14,237.9746771064114,-405.9339375031311,6
15,308.0189088630127,-496.42852318187056,6
16,318.53462391266913,-518.8367737288587,7
17,254.142217542253,-566.1655102771749,8
18,299.6060798487224,-594.2375243291099,9
19,246.9993208449751,-643.9267189508586,10
20,293.4105205952244,-705.3985934781227,11
21,328.36642167949435,-691.3844470943625,11
22,285.21773842831766,-629.6352286486866,11
23,362.515077539872,-575.5123338891095,12
24,263.069543194306,-661.0769197855304,12
25,195.2820171180716,-599.3720701375328,13
26,254.54912988913097,-538.8682192074808,14
27,197.9093521040076,-632.5583166727865,14
28,210.8557518078597,-595.1696488913485,15
29,253.46708882732872,-568.5970287381725,16
30,315.62610787230363,-477.8404756440152,16
31,396.1839950949552,-564.0809268595298,16
32,485.8911647758608,-499.3503634033356,17
33,484.4861181903614,-502.47472476945137,17
34,443.144853463627,-476.1662004842198,17
35,444.685341901022,-575.4500790241277,18
36,519.9981298436596,-632.1316697662912,18
37,540.5269024614092,-649.5801779280612,19
38,632.9142670216715,-691.9436697129863,20
39,721.7918093911146,-762.4016174357927,20
40,673.8661725614223,-733.6688123626442,21
41,578.8398950514719,-775.6402674718584,22
42,542.3903509985953,-703.1472221104596,22
43,557.2908164512178,-641.6591731265618,23
44,598.4746225706186,-674.9660033787077,23
45,540.0058265034287,-637.8024288464744,24
46,506.1679694148384,-617.6309873015962,24
47,514.9691352853267,-647.7474698512876,24
48,481.9665458464963,-689.8750446037553,24
49,468.0923021067595,-772.2202101738251,25
